,Title,Meta title,Meta description
19,Carolina Ferraz abre processo trabalhista contra a Rede Globo - Fofocas dos Famosos - iG,Carolina Ferraz abre processo trabalhista contra a Rede Globo - Fofocas dos Famosos - iG,A atriz Carolina Ferraz foi demitida recentemente da emissora. O processo de Carolina Ferraz contra a Rede Globo corre em segredo de justiça. Confira.
20,Carro bate em poste na Linha Verde e passageiro morre no local,Carro bate em poste na Linha Verde e passageiro morre no local,"Acidente aconteceu na pista marginal da BR-476, sentido Fazenda Rio Grande"
21,Blog do Esmael,Rio de Janeiro governado da cadeia | Blog do Esmael,"A PF prendeu na manhã desta quarta (22) os ex-governadores do Rio de Janeiro Anthony Garotinho e Rosinha Garotinho, ambos do PR, sob a acusação de integrarem uma organização criminosa que arrecadava recursos de forma ilícita com empresários com o … Continue lendo →"
22,Um guia para quem quer investir em Bitcoins – Economia em Cinco Minutos – R7,Um guia para quem quer investir em Bitcoins – Economia em Cinco Minutos – R7,A moeda virtual Bitcoins (Chris Ratcliffe/Bloomberg via Getty Images) O Bitcoin é uma moeda totalmente virtual que tem ficado cada vez maior popular em
23,Abel exalta Dourado e torce por artilharia: 'É o maior ídolo atual do clube' - Esportes - Estadão,Abel exalta Dourado e torce por artilharia: 'É o maior ídolo atual do clube' - Esportes - Estadão,Atacante agradece apoio do treinador e elogia capacidade de gerir o grupo do comandante
24,"Destak Jornal - Sem apoio, Trump volta a ameaçar Pyongyang | Mundo","Sem apoio, Trump volta a ameaçar Pyongyang",
25,Defesa de Lula diz que Moro desrespeita prerrogativas e crê em revisão de pena - Politica - Estado de Minas,Defesa de Lula diz que Moro desrespeita prerrogativas e crê em revisão de pena,"São Paulo, 26 - A defesa do ex-presidente Luiz Inácio Lula da Silva afirma que "
26,maringa.odiario.com,Página sem meta title,Página sem meta description
27,"
	Japão espera que crise da Catalunha seja resolvida de acordo com a lei | Mundo | Edição Brasil | Agencia EFE
",Japão espera que crise da Catalunha seja resolvida de acordo com a lei,"O governo de Japão expressou nesta segunda-feira seu apoio à aplicação do artigo 155 da Constituição espanhola perante a crise na Catalunha, e disse confiar que a situação seja resolvida ""de forma pac"
28,24 pessoas com fantasias de Dia das Bruxas muito criativas,24 pessoas com fantasias de Dia das Bruxas muito criativas,Seleção traz 24 pessoas com fantasias de Dia das Bruxas muito criativas. Fantasias são divertidas e podem atrair a atenção de qualquer pessoa.
29,Bomba! Suposto affair entre Richard Avedon e Mike Nichols é revelado em novo livro – Notas – Glamurama,Bomba! Suposto affair entre Richard Avedon e Mike Nichols é revelado em novo livro,
30,"Tête-à-tête com Jean Charles Castelbajac, designer que vestiu o Papa e Lady Gaga... – Moda – Glamurama","Tête-à-tête com Jean Charles Castelbajac, designer que vestiu o Papa e Lady Gaga…",
31,Santos da Casa: JIMMY P NUM DIA MAU,JIMMY P NUM DIA MAU," Jimmy P acaba de lançar o segundo tema retirado daquele que será o seu 4• álbum de originais. Depois de “Dramas como tu”, que conta já com ..."
32,A corda só quebra para o lado mais fraco - Roda Viva - Portal O Dia,A corda só quebra para o lado mais fraco - Roda Viva - Portal O Dia,A corda só quebra para o lado mais fraco
33,"Abalada, mãe de aluna morta em escola diz que não consegue comer nem dormir após o crime: 'Destruiu a família' | Goiás | G1","Abalada, mãe de aluna morta em escola diz que não consegue comer nem dormir após o crime: 'Destruiu a família'","Ela recebeu o G1 na casa onde Raphaella Noviski, 16, morava com a avó; a mulher conta que tudo faz lembrar a estudante e quer que Misael Pereira, 19, que confessou o crime, continue preso."
34,"Operação Lava Jato: Gim Argello, ex-dirigentes da OAS e UTC ficam com penas menores - Ultimoinstante Notícias de Hoje","Operação Lava Jato: Gim Argello, ex-dirigentes da OAS e UTC ficam com penas menores - Ultimoinstante Notícias de Hoje","O ex-presidente da empreiteira UTC engenharia, Ricardo Ribeiro Pessoa teve a pena reduzida de ofício pelo tribunal"
35,Fotógrafa Teresa Eng materializa traumas do estupro em obra com diversas camadas e papéis – Entretempos,Fotógrafa Teresa Eng materializa traumas do estupro em obra com diversas camadas e papéis - Entretempos,
36,Comissão da Câmara aprova PEC que restringe foro privilegiado | G1 / Política | G1,Comissão da Câmara aprova PEC que restringe foro privilegiado,
37,O QUE VOCÊ ACHOU DA NOVA PRAÇA DE BREJO?  ~ Blog do William Fernandes Chapadinha-MA,O QUE VOCÊ ACHOU DA NOVA PRAÇA DE BREJO? ,"Blog de notícias de Chapadinha, Maranhão, Baixo Parnaíba, Futebol, Política, esporte, Flávio Dino, acidente... polícia, crimes,"
38,Mais de 15% dos internautas já tiveram contas roubadas,Mais de 15% dos internautas já tiveram contas roubadas,Pesquisadores analisam como criminosos descobrem senhas e dados dos internautas
39,Emprego Iniciativa privada - Lanxess prorroga inscriÃ§Ãµes para vagas de estÃ¡gio | JC Concursos,Lanxess prorroga inscriÃ§Ãµes para vagas de estÃ¡gio,"A Lanxess, multinacional alemÃ£ especialista em quÃ­micas, recebe inscriÃ§Ãµes para o seu Programa de EstÃ¡gio 2018, com oportunidades para estudantes do a href=""https://jcconc..."
40,"“Democracia racial no Brasil é mito”, diz Bacelar nas redes sociais | Política Livre",Página sem meta title,Página sem meta description
41,As incógnitas eleitorais para 2018 | Helio Gurovitz | G1,As incógnitas eleitorais para 2018,
42,"""Tenho mais medo do parto do que do Enem"", diz candidata grávida após prova no Recife | Educação em Pernambuco | G1","""Tenho mais medo do parto do que do Enem"", diz candidata grávida após prova no Recife","Daiana Maria Santos aprovou o tema da redação, sobre os desafios educacionais para surdos no país. Outros candidatos, porém, ficaram surpresos com a temática proposta. "
43,Senado defende fundo bilionário para campanhas eleitorais questionado no STF,Senado defende fundo bilionário para campanhas eleitorais questionado no STF,"Após o Palácio do Planalto e a Câmara dos Deputados, o presidente do Senado, Eunício Oliveira (PMDB-CE), encaminhou, ao Supremo Tribunal Federal..."
44,"
Justiça determina que Marinha aceite inscrição de candidato barrado por tatuagem - Jornal O Globo
",Justiça determina que Marinha aceite inscrição de candidato barrado por tatuagem,"Magistrado afirmou que desclassificação foi ‘ilegal, arbitrária e preconceituosa’"
45,PMs envolvidos com jogos de azar podem ser expulsos da corporação | JORNAL O TEMPO,PMs envolvidos com jogos de azar podem ser expulsos da corporação,Major e sargento acobertavam organização criminosa
46,"Renata Fan relembra ""foto mais feia"" de seu celular após acesso do Inter - 14/11/2017 - UOL Esporte","Renata Fan relembra ""foto mais feia"" de seu celular após acesso do Inter","Não se assustem! Sou eu mesma!Estava deformada. Chorei por quase duas horas sem parar e me deparei com a pior tristeza como torcedora colorada. Esta talvez seja a foto mais “feia” que tenho no meu celular. Sem filtro, repleta de dor e inconformismo, tirada no dia 11 de dezembro de 2016, quando o Inter caiu […]"
47, Raquel Dodge rejeita novo texto do governo para portaria do trabalho escravo ,Raquel Dodge rejeita novo texto do governo para portaria do trabalho escravo," BRASÍLIA — A procuradora-geral da República, Raquel Dodge, informou ao ministro do Trabalho, Ronaldo Nogueira, que o novo texto sobre combate ao trabalho..."
48,"Confira o card final do Pay-Per-View Survivor Series 2017, da WWE","Confira o card final do Pay-Per-View Survivor Series 2017, da WWE","O Survivor Series ocorrerá neste domingo (19) e contará com várias lutas champion vs. champion e ainda com o tradicional Team vs. Team, focando na rivalidade RAW vs. Smackdown. Confira o card final. Antes de anunciarmos o card final do Survivor Series, vale informar que o lutador James Ellsworth foi demitido da empresa. O card…"
49,Oposição venezuelana diz que irá a diálogo com o governo Maduro | Mundo: Diario de Pernambuco,Oposição venezuelana diz que irá a diálogo com o governo Maduro,"A comitiva opositora será liderada pelo presidente do Parlamento, Julio Borges, e representada também por lideranças econômicas e da sociedade civil"
50,Da dor indizivel,Da dor indizivel,        Somos profetas da dor indizível. Receamos que se a desenharmos com contornos ela ganhe vincos abrasivos de giz a raspar na ardósia. ...
51,maringa.odiario.com,Página sem meta title,Página sem meta description
52,Relembre os casos de países que caíram na moratória,Relembre os casos de países que caíram na moratória,"Da Grécia em 2015 ao México em 1982, outros países já deram calote no pagamento de suas dívidas externas ou de seus juros"
53,.: NATAL BRADESCO COM O TEMA O PALÁCIO ENCANTADO ANÚNCIA APRESENTAÇÕES,NATAL BRADESCO COM O TEMA O PALÁCIO ENCANTADO ANÚNCIA APRESENTAÇÕES,"  A estreia está prevista para 1º de Dezembro, o Natal do Bradesco  chega à sua 27ª edição mais encantador do que nunca. Com o tema “ O Palá..."
54," Após infecção aguda, Simaria retoma agenda: 'Estou quase boa' ","Após infecção aguda, Simaria retoma agenda: 'Estou quase boa'","Simaria, diagnosticada com uma infecção aguda de vias aéreas superiores, retomou a agenda com a irmã, Simone, nesta terça-feira. A dupla grava  o “The voice..."
55,"Graças a Messi, a Argentina chegou.E o Brasil ganhou fácil - Esporte - UOL Esporte","Graças a Messi, a Argentina chegou.E o Brasil ganhou fácil - Esporte - UOL Esporte","Só um gigante do futebol  teria arte e força para executar o que Messi fez: com a Argentina em situação delicada, correndo sério risco de não ir à Copa da Rússia,com o Equador à frente no pl..."
56,Polícia Militar encontra saco de pólvora em agência bancária de Piedade | Sorocaba e Jundiaí | G1,Polícia Militar encontra saco de pólvora em agência bancária de Piedade,"Unidade foi alvo de criminosos na madrugada de quinta-feira (2). Segundo a PM, o Grupo de Ações Táticas Especiais (GATE) foi acionado e isolou a área como prevenção."
57,"IAAF mantém suspensão da Rússia por escândalo de doping - Jornal de Santa Catarina: notícias de Blumenau, Vale do Itajaí e SC",IAAF mantém suspensão da Rússia por escândalo de doping,"A Federa&ccedil;&atilde;o Internacional de Atletismo (IAAF) manteve a suspens&atilde;o imposta &agrave; R&uacute;ssia em novembro de 2015, resultado de um sistem"
58,Volvo XC60 e Volkswagen T-Roc ganham nota máxima em teste de segurança europeu - AUTO ESPORTE | Notícias,Volvo XC60 e Volkswagen T-Roc ganham nota máxima em teste de segurança europeu,Volkswagen Polo e Mitsubishi Eclipse Cross também levaram cinco estrelas
59,"NCST: Reforma Trabalhista é ""falsa modernização"" - Portal Vermelho","NCST: Reforma Trabalhista é ""falsa modernização"" - Portal Vermelho","O portal Vermelho recuperou trechos de nota oficial assinada por José Calixto, presidente da Nova Central Sindical de Trabalhadores (NCST) que se posicionou contrária à reforma trabalhista durante a tramitação do projeto. Na opinião do dirigente a reforma trabalhista que entrou em vigor neste sábado é ""uma falsa modernização"" das relações de trabalho. Na ocasião em que foi divulgada a nota a central se mostrou disposta a contestar juridicamente a nova lei."
60,Vereador de Sertãozinho é investigado por gastar R$ 521 em empório de queijos e vinhos com verba pública | Ribeirão e Franca | G1,Vereador de Sertãozinho é investigado por gastar R$ 521 em empório de queijos e vinhos com verba pública,Inquérito apontou que Antônio César Peghini (PMDB) fez uso indevido de dinheiro da Câmara com viagens a São Paulo. Parlamentar também é alvo de conselho de ética no Legislativo.
61,O INDEFECTÍVEL: O futebol na sociedade portuguesa,O futebol na sociedade portuguesa,Indefectíveis na luta pelo Glorioso Sport Lisboa e Benfica. Pelo Benfica! Sempre!
62,Página sem título,Página sem meta title,Página sem meta description
63,Vinheta de fim de ano da Globo é cópia descarada de homenagem de fãs do Foo Fighters – Keila Jimenez – R7,Vinheta de fim de ano da Globo é cópia descarada de homenagem de fãs do Foo Fighters – Keila Jimenez – R7,Jogo dos Sete Erros : Homenagem de fãs italianos do Foo Fighters e vinheta da Globo Era uma vez um grupo de fãs italianos apaixonados pela Banda Foo Fi
64,"Sergio Moro pode negar o quanto quiser, mas o povo não desapega dele como candidato - Conexão Brasília","Sergio Moro pode negar o quanto quiser, mas o povo não desapega dele como candidato - Conexão Brasília","Seja você admirador ou crítico do juiz Sergio Moro, uma coisa não pode negar: ele nunca deu qualquer indício de que poderia abandonar a magistratura e entrar para a política. Pelo contrário, a cada nova entrevista, ele insistentemente reforça que está fora das eleições de 2018. A “paixonite” do eleitor pelo julgador da Lava Jato, …"
65,Justiça de SP condena sete advogados que trabalhavam para o PCC | Brasil: Diario de Pernambuco,Justiça de SP condena sete advogados que trabalhavam para o PCC,"As penas variam de oito a 17 anos e, entre os condenados, estão quatro homens e três mulheres"
66, O ‘Bolsonaro’ chileno que louva Pinochet e quer ser presidente | Internacional | EL PAÍS Brasil,O ‘Bolsonaro’ chileno que louva Pinochet e quer ser presidente,"José Antonio Kast, contrário ao aborto e favorável ao indulto para repressores da ditadura, representa a direita mais conservadora nas eleições do domingo que vem"
67,Nova Fronteira lança dois volumes de coleção póstuma de Ariano Suassuna - 11/11/2017 - Ilustrada - Folha de S.Paulo ,Nova Fronteira lança dois volumes de coleção póstuma de Ariano Suassuna,"A criação de uma síntese de sua obra e de seu pensamento sobre a cultura brasileira perseguiu o escritor Ariano Suassuna (1927-2014) ao longo de 33 anos. Perto de morrer, em 2014, ele concluiu os dois primeiros volumes dos sete previstos para a série ""A Ilumiara"", nome inspirado nos anfiteatros de ancestrais."
68,Blog do Esmael,Raquel Dodge ‘engaveta’ denúncia contra Beto Richa sobre massacre de professores no PR | Blog do Esmael,"A procuradora-geral da República, Rachel Dodge, vai ganhando jeitão de engavetadora-geral da República, a exemplo de seu predecessor Geraldo Brindeiro. Ela decidiu pelo “arquivamento dos autos” nos quais eram alvos o ex-secretário de Segurança Pública e deputado Fernando Francischini (SD) … Continue lendo →"
69,Oito jogadores de futebol que são polêmicos e encrenqueiros - Futebol - iG,Oito jogadores de futebol que são polêmicos e encrenqueiros - Futebol - iG,Confira a lista com alguns dos jogadores que são considerados briguentos e polêmicos. Jogadores desta lista foram encrenqueiros dentro e fora de campo
70,PGR denuncia ministro do TSE Admar Gonzaga por agressão à mulher - Politica - Estado de Minas,PGR denuncia ministro do TSE Admar Gonzaga por agressão à mulher,"Brasília, 15 - A procuradora-geral da República, Raquel Dodge, denunciou perante o Supremo Tribunal Federal (STF) o ministro do Tribunal Superior Elei"
71,"Em meio ao debate sobre a reforma, líder do governo indica novo presidente do INSS – Painel","Em meio ao debate sobre a reforma, líder do governo indica novo presidente do INSS - Painel","Gente nossa Em meio às discussões sobre as novas regras de aposentadoria, o líder do governo no Congresso, André Moura (PSC-SE), emplacou o novo presidente..."
72, Patrimônio do deputado Jorge Picciani aumentou 6.368% em 20 anos ,Patrimônio do deputado Jorge Picciani aumentou 6.368% em 20 anos ,"O patrimônio do presidente da Alerj, deputado Jorge Picciani, que foi conduzido coercitivamente para depor nesta terça-feira na Operação "
73,Mães de Srebrenica parcialmente satisfeitas com veredicto de Mladic - Geral - Hora de Santa Catarina,Mães de Srebrenica parcialmente satisfeitas com veredicto de Mladic,A presidente da associa&ccedil;&atilde;o das m&atilde;es dos redutos de Srebrenica e Zepa disse nesta quarta-feira n&atilde;o estar inteiramente satisfeita com a
74,RepórterMT | Carro do Ibama é incendiado durante fiscalização no interior de MT,RepórterMT | Carro do Ibama é incendiado durante fiscalização no interior de MT,"Uma caminhonete do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) foi incendiada no Distrito de Guariba, em Colniza (1.065 km a Noroeste), na tarde desta terça-feira (7).
O ataque foi realizado por diversas pessoas, enquanto fiscais realizavam um operação de fiscalização de rotina, que ocorre em toda região da Floresta Amazônica, para combate ao desmatamento.
“O Ibama estava fazendo um..."
75,Bahia Notícias / Holofote,Página sem meta title,Página sem meta description
76,403 Forbidden,Página sem meta title,Página sem meta description
77,Aposta feita em Minas leva R$ 33 milhões da Mega-Sena - Primeiro Plano - Home,Aposta feita em Minas leva R$ 33 milhões da Mega-Sena,"Uma aposta feita em Araguari, na região do Triãngulo Mineiro, acertou as seis dezenas do sorteio da Mega-Sena realizado na noite de quarta-feira (29)..."
78,Vice-presidente é escolhido para assumir o comando provisório do Zimbábue - Primeiro Plano - Home,Vice-presidente é escolhido para assumir o comando provisório do Zimbábue,"A União Nacional Africana de Zimbábue-Frente Patriótica (ZANU-PF) designou nesta quarta-feira (22), oficialmente, o ex-vice-presidente Emmerson..."
79,Jovem é preso após atirar em carro durante tentativa de assalto em Campinas | Campinas e Região | G1,Jovem é preso após atirar em carro durante tentativa de assalto em Campinas,Motorista do veículo não ficou ferida. Disparo atingiu o vidro do automóvel; suspeito já tinha passagem pela polícia. 
80,ACUSADO DE AGRESSÃO FÍSICA É PRESO E MOTO QUE FOI ROUBADA É  RECUPERADA NA CIDADE DE BOM LUGAR  - Blog do Randyson Laércio,ACUSADO DE AGRESSÃO FÍSICA É PRESO E MOTO QUE FOI ROUBADA É  RECUPERADA NA CIDADE DE BOM LUGAR ,Página sem meta description
81,403 Forbidden,Página sem meta title,Página sem meta description
82,35 Suicide Girls brasileiras pra você seguir no Instagram,35 Suicide Girls brasileiras pra você seguir no Instagram,"Fizemos o trabalho pra você, selecionamos nada menos do que 35 suicide girls brasileiras pra deixar a sua timeline do Instagram mais interessante."
83,"
O rei do futebol nas telonas do Brasil | Blog do Pizzato",O rei do futebol nas telonas do Brasil,"Na próxima quinta-feira (26), será lançado nos cinemas de todo o país o filme “Pelé: O nascimento de uma lenda”, que conta a história de Edson Arantes do Nascimento, considerado o maior jogador de …"
84,"Tarifa de ônibus em Campo Grande vai subir para R$ 3,70, confirma prefeito - Capital - Campo Grande News","Tarifa de ônibus em Campo Grande vai subir para R$ 3,70, confirma prefeito","A tarifa de ônibus de Campo Grande vai subir para R$ 3,70 - hoje está em R$ 3,55 -, conforme o prefeito Marquinhos Trad (PSD). A medida ainda precisa ser publicada por meio de um decreto no Diogrande (Diário Oficial de Campo Grande).
O contrato exige a reposição. Não terá aumento. Este é o menor percentual dos últimos 12 anos, ressaltou. O acréscimo representa 4%, que também será aplicado no pas..."
85,"Eurico vence pleito, mas urna suspeita causa polêmica, e eleição do Vasco só será decidida na Justiça - ESPN.com.br","Eurico vence pleito, mas urna suspeita causa polêmica, e eleição do Vasco só será decidida na Justiça",
86,"No Brasil, clubes que gastam muito não têm certeza de vitórias - 12/11/2017 - PVC - Colunistas - Folha de S.Paulo ","PVC: No Brasil, clubes que gastam muito não têm certeza de vitórias","O Corinthians é o virtual campeão brasileiro e tem a quinta maior folha de pagamento do país. Perde para Palmeiras, Atlético-MG, São Paulo e Flamengo. O Grêmio, vice-líder, é o sétimo colocado no ranking dos salários e o Santos ocupa a nona posição."
87,Televisão agora vai ter selo Procel - Época NEGÓCIOS | Brasil,Televisão agora vai ter selo Procel,Certificado aponta aparelhos de TV no modo ativo com maior eficiência no consumo de energia elétrica
88,Homem é retirado à força de casa e é assassinado no meio de rua em Fortaleza | Ceará | G1,Homem é retirado à força de casa e é assassinado no meio de rua em Fortaleza,Assassinos expuseram vítima a pessoas que transitavam por rua no Bairro Bom Jardim. Crime bárbaro foi filmado e divulgado em rede social.
89,"Genivaldo Abreu: Após solicitação da Bancada do Nordeste, Temer se compromete a prorrogar prazo para negociação de dívidas rurais","Após solicitação da Bancada do Nordeste, Temer se compromete a prorrogar prazo para negociação de dívidas rurais","       A Bancada do Nordeste no Congresso Nacional esteve reunida com o presidente Michel Temer, nesta terça-feira (21), para tratar da pror..."
90,Intolerância religiosa já matou quatro pessoas em Teresina - Teresina - Portal O Dia,Intolerância religiosa já matou quatro pessoas em Teresina - Teresina - Portal O Dia,"Dados são do Centro Nacional de Africanidade e Resistência Afro-Brasileira, que faz o levantamento desde 2009"
91,Facebook abre seleção para cursos gratuitos de programação para jovens,Facebook abre seleção para cursos gratuitos de programação para jovens,"Tudo sobre tecnologia, internet e redes sociais"
92,Ministro das Finanças avança para o Eurogrupo  - Economia - RTP Notícias,Ministro das Finanças avança para o Eurogrupo,Página sem meta description
93,"
	Marcelo admite ter sonegado quase 500 mil euros em impostos na Espanha | Esportes | Edição Brasil | Agencia EFE
",Marcelo admite ter sonegado quase 500 mil euros em impostos na Espanha,"O lateral-esquerdo brasileiro Marcelo, do Real Madrid, admitiu em audiência judicial realizada nesta terça-feira ter sonegado 490,9 mil euros (R$ 1,9 milhão) em imposto de renda, no exercício de 2013,"
94, O que fazer em São Paulo no feriado de 15 de novembro de 2017 ,O que fazer em São Paulo no feriado de 15 de novembro de 2017,Feriado caiu no meio da semana? Não tem problema: aqui você encontra passeios incríveis para fazer em São Paulo!
95,"Devolução da delação de marqueteiro não contraria entendimento do STF, diz Mendes","Devolução da delação de marqueteiro não contraria entendimento do STF, diz Mendes",O ministro do STF decidiu devolver à PGR para readequação o acordo de colaboração premiada
96,"No Dia Internacional da Não-Violência contra as Mulheres, Alessandra Nuzzo fala sobre o tema – Notas – Glamurama","No Dia Internacional da Não-Violência contra as Mulheres, Alessandra Nuzzo fala sobre o tema",
97,"Polícia apreende mais de 100 quilos de maconha em Toledo, no Oeste do estado - Polícia Militar - Secretaria da Segurança Pública e Administração Penitenciária",Página sem meta title,Página sem meta description
98,Quem é o príncipe saudita bilionário preso por corrupção - Época NEGÓCIOS | Mundo,Quem é o príncipe saudita bilionário preso por corrupção,"Dono de um patrimônio estimado em cerca de US$ 17 bilhões, o príncipe Alwaleed possui investimentos em empresas como Twitter, Apple, News Corporation e Citigroup"
99,Câmara aprova programa que orienta mães sobre adoção,Câmara aprova programa que orienta mães sobre adoção,"A Câmara Municipal de Maceió aprovou projeto de lei que dispõe sobre a orientação nas unidades de saúde pública da capital a gestantes que manifestem interesse em entregar os filhos para adoção. O PL foi aprovado em primeira discussão na sessão ordinária desta terça-feira (7), e precisa ser deliberado em segunda votação para ser enviado..."
100,Sindicato dos trabalhadores do transporte coletivo avalia greve na segunda-feira em Blumenau - Geral - Jornal de Santa Catarina,Sindicato dos trabalhadores do transporte coletivo avalia greve na segunda-feira em Blumenau,Trabalhadores paralisaram as atividades nesta quinta em dois momentos
101,Décor do dia: home office em forma de caixa - Casa Vogue | Décor do dia,Décor do dia: home office em forma de caixa,Paredes e teto pintados criam divisão virtual de ambientes
102,Telfar Clemens: quem é o designer que levou o 1º lugar do prêmio CFDA/Vogue Fashion Fund // Notícias // FFW,Telfar Clemens: quem é o designer que levou o 1º lugar do prêmio CFDA/Vogue Fashion Fund // FFW,"Uma marca do Queens, em Nova York, venceu o principal prêmio do CFDA/Vogue Fashion Fund deste ano. O liberiano-americano Telfar Clemens, da Telfar , levou pra casa o prêmio de US$ 400 mil, o maior sinal de aprovação que ele teve em 12 anos de trabalho e dedicação. Os outros dois finalistas são Ahlem Manai-Platt, da marca Ahlem e Becca McCharen-Tran, da Chromat. “Diversidade é muito importante. Este ano, eu tenho orgulho de dizer que o grupo de finalistas é o mais diverso entre todas as edições desde que começamos há 14 anos”, disse Diane von Furstenberg, presidente do CFDA, na entrega ..."
103,Funaro diz que Temer e Moreira Franco receberam propina da Bertin - ISTOÉ Independente,Funaro diz que Temer e Moreira Franco receberam propina da Bertin - ISTOÉ Independente,"O corretor Lúcio Bolonha Funaro afirmou ao juiz Vallisnney de Souza Oliveira, da 10ª Vara Federal, em Brasília, que o presidente Michel Temer, o ministro da Secretaria Geral da Presidência, Moreira Franco, e o ex-deputado Eduardo Cunha teriam recebido parte da propina paga por uma empresa de energia do grupo Bertin, que atua no setor …"
104,"Adolescente-bomba do EI mata 5 pessoas no bairro diplomático de Cabul - Mundo - Jornal de Santa Catarina - Jornal de Santa Catarina: notícias de Blumenau, Vale do Itajaí e SC",Adolescente-bomba do EI mata 5 pessoas no bairro diplomático de Cabul,"Um adolescente-bomba de cerca de 13 anos se explodiu nesta ter&ccedil;a-feira na ""zona verde"" - o bairro diplom&aacute;tico - de Cabul, deixando ao menos cinco m"
